vat,issue_date,due_date,repayment_date,amount
CHE-225.821.568,07/13/2014,09/05/2014,,12449
CHE-103.635.820,07/19/2014,09/27/2014,09/24/2014,36001.5
CHE-390.674.896,07/30/2014,10/22/2014,10/20/2014,16073
CHE-154.202.589,07/30/2014,10/13/2014,,5914
CHE-102.754.082,08/02/2014,11/02/2014,10/26/2014,2959.95
CHE-105.901.109,08/02/2014,09/27/2014,09/25/2014,2297
CHE-210.703.637,08/17/2014,12/15/2014,12/04/2014,3634
CHE-115.092.487,08/26/2014,11/05/2014,11/02/2014,25747
CHE-107.541.510,08/26/2014,10/18/2014,10/18/2014,56730.2
CHE-107.541.510,08/28/2014,10/24/2014,,7061
CHE-154.202.589,08/29/2014,10/20/2014,10/18/2014,1047
CHE-216.731.683,09/05/2014,11/01/2014,10/31/2014,3163.2
CHE-269.097.953,09/08/2014,11/27/2014,11/25/2014,17662
CHE-115.608.621,09/19/2014,11/30/2014,11/28/2014,3557
CHE-102.754.082,09/20/2014,10/23/2014,12/25/2014,11275
CHE-135.974.416,09/22/2014,11/28/2014,11/26/2014,5658
CHE-388.258.667,09/23/2014,11/28/2014,,4393.5
CHE-102.754.082,09/28/2014,10/22/2014,11/04/2014,112355
CHE-273.147.077,09/29/2014,11/26/2014,11/23/2014,2239
CHE-499.741.103,09/30/2014,12/10/2014,12/08/2014,2109
CHE-103.635.820,10/01/2014,12/11/2014,12/09/2014,2900.8
CHE-105.791.282,10/02/2014,12/03/2014,11/22/2014,24104
CHE-273.147.077,10/05/2014,01/11/2015,01/09/2015,4871
CHE-108.570.101,10/13/2014,01/05/2015,,16481
CHE-118.129.096,10/14/2014,12/05/2014,12/05/2014,4864
CHE-105.180.120,10/14/2014,12/05/2014,12/04/2014,11119
CHE-386.597.228,10/18/2014,11/17/2014,11/15/2014,7531
CHE-225.821.568,10/20/2014,12/19/2014,12/14/2014,11509.69
CHE-109.793.257,10/21/2014,12/21/2014,12/20/2014,11716.22
CHE-273.147.077,10/22/2014,12/24/2014,12/22/2014,36659
CHE-216.731.683,10/24/2014,11/15/2014,11/17/2014,1481
CHE-325.933.806,10/26/2014,12/10/2014,12/05/2014,6290.2
CHE-431.568.615,10/27/2014,12/19/2014,12/17/2014,68973
CHE-102.210.431,10/29/2014,12/26/2014,12/21/2014,5891
CHE-109.793.257,11/01/2014,12/05/2014,12/03/2014,5664.2
CHE-135.974.416,11/01/2014,12/05/2014,12/03/2014,1866
CHE-100.044.756,11/03/2014,01/19/2015,01/17/2015,9272.8
